Name,Category1,Category2,Color1,Color2,Shape,Size,,Target Scale
PopsicleFlatOrange,food,bakery,orange,,curved,medium,,2
PopsicleFlatPurple,food,bakery,purple,,curved,medium,,2
PopsicleFlatRainbow,food,bakery,colorful,,curved,medium,,2
PopsicleFlatRed,food,bakery,red,,curved,medium,,2
PopsicleFlatWhite,food,bakery,white,,curved,medium,,2
PopsicleFlatYellow,food,bakery,yellow,,curved,medium,,2
PopsicleParticleBrown,food,bakery,brown,,curved,medium,,2
PopsicleParticlePink,food,bakery,pink,,curved,medium,,2
PopsicleWatermelon,food,bakery,red,,curved,medium,,2
Sandwich,food,junkfood,brown,,sharp,medium,,1.6
Shrimp,food,junkfood,pink,white,mix,small,,1.7
SunnySideUp,food,junkfood,white,yellow,flat,medium,,1.8
SushiGreen,food,junkfood,green,white,circle,small,,1
SushiOrange,food,junkfood,orange,white,circle,small,,1
Taco,food,junkfood,brown,,flat,medium,,2.2
Waffle,food,bakery,brown,,flat,medium,,1.5
YoghurtBlue,food,fruit,blue,white,cylinder,small,,1.3
YoghurtBrown,food,fruit,brown,white,cylinder,small,,1.3
YoghurtGreen,food,fruit,green,white,cylinder,small,,1.3
YoghurtOrange,food,fruit,orange,white,cylinder,small,,1.3
YoghurtPink,food,fruit,pink,white,cylinder,small,,1.3
YoghurtPurple,food,fruit,purple,white,cylinder,small,,1.3
YoghurtYellow,food,fruit,yellow,white,cylinder,small,,1.3
BalloonFlatBlue,sport,toy,blue,,sphere,medium,,1.8
BalloonFlatGreen,sport,toy,green,,sphere,medium,,1.8
BalloonFlatOrange,sport,toy,orange,,sphere,medium,,1.8
BalloonFlatPink,sport,toy,pink,,sphere,medium,,1.8
BalloonFlatPurple,sport,toy,purple,,sphere,medium,,1.8
BalloonFlatRed,sport,toy,red,,sphere,medium,,1.8
BalloonFlatWhite,sport,toy,white,,sphere,medium,,1.8
BalloonFlatYellow,sport,toy,yellow,,sphere,medium,,1.8
BalloonParticleBlue,sport,toy,blue,,sphere,medium,,1.8
BalloonParticleGreen,sport,toy,green,,sphere,medium,,1.8
BalloonParticlePink,sport,toy,pink,,sphere,medium,,1.8
BalloonParticlePurple,sport,toy,purple,,sphere,medium,,1.8
BalloonParticleRainbow,sport,toy,colorful,,sphere,medium,,1.8
BalloonParticleRed,sport,toy,red,,sphere,medium,,1.8
BalloonParticleWhite,sport,toy,white,,sphere,medium,,1.8
BalloonParticleYellow,sport,toy,yellow,,sphere,medium,,1.8
Baseball,sport,game,white,,sphere,small,,0.9
BaseballBatBrown,sport,game,brown,,bar,large,,4.2
BaseballBatGrey,sport,game,brown,,bar,large,,4.2
BaseballBatRed,sport,game,brown,,bar,large,,4.2
BaseballBatWhite,sport,game,brown,,bar,large,,4.2
Basketball,sport,school,brown,,sphere,large,,1.6
BeachBall,sport,game,colorful,,sphere,large,,1.9
BowlingBallBlue,sport,game,blue,,sphere,large,,1.8
BowlingBallGreen,sport,game,green,,sphere,large,,1.8
BowlingBallPink,sport,game,pink,,sphere,large,,1.8
BowlingBallPurple,sport,game,purple,,sphere,large,,1.8
BowlingBallRed,sport,game,red,,sphere,large,,1.8
BowlingBallWhite,sport,game,white,,sphere,large,,1.8
BowlingBallYellow,sport,game,yellow,,sphere,large,,1.8
BowlingPinBlue,sport,game,blue,white,cylinder,medium,,1.9
BowlingPinGreen,sport,game,green,white,cylinder,medium,,1.9
BowlingPinOrange,sport,game,orange,white,cylinder,medium,,1.9
BowlingPinPink,sport,game,pink,white,cylinder,medium,,1.9
BowlingPinPurple,sport,game,purple,white,cylinder,medium,,1.9
BowlingPinRed,sport,game,red,white,cylinder,medium,,1.9
BowlingPinYellow,sport,game,yellow,white,cylinder,medium,,1.9
CricketBall,sport,game,red,,sphere,small,,1
CricketBat,sport,game,brown,,bar,large,,4.2
DartArrowBlack,sport,game,black,,bar,small,,1.5
DartArrowBlue,sport,game,blue,,bar,small,,1.5
DartArrowGreen,sport,game,green,,bar,small,,1.5
DartArrowOrange,sport,game,orange,,bar,small,,1.5
DartArrowPink,sport,game,pink,,bar,small,,1.5
DartArrowPurple,sport,game,purple,,bar,small,,1.5
DartArrowRed,sport,game,red,,bar,small,,1.5
DartArrowWhite,sport,game,white,,bar,small,,1.5
DartArrowYellow,sport,game,yellow,,bar,small,,1.5
DartBoard,sport,game,black,,circle,medium,,1.8
DumbbellBlack,sport,game,black,grey,cylinder,medium,,1.7
DumbbellBlue,sport,game,blue,,cylinder,medium,,1.7
DumbbellGreen,sport,game,green,,cylinder,medium,,1.7
DumbbellOrange,sport,game,orange,,cylinder,medium,,1.7
DumbbellPink,sport,game,pink,,cylinder,medium,,1.7
DumbbellPurple,sport,game,purple,,cylinder,medium,,1.7
DumbbellRed,sport,game,red,,cylinder,medium,,1.7
DumbbellWhite,sport,game,white,,cylinder,medium,,1.7
DumbbellYellow,sport,game,yellow,,cylinder,medium,,1.7
Football,sport,school,white,black,sphere,medium,,1.5
FrisbeeBlue,sport,game,blue,,circle,medium,,1.9
FrisbeeGreen,sport,game,green,,circle,medium,,1.9
FrisbeeOrange,sport,game,orange,,circle,medium,,1.9
FrisbeePurple,sport,game,purple,,circle,medium,,1.9
FrisbeeRed,sport,game,red,,circle,medium,,1.9
FrisbeeYellow,sport,game,yellow,,circle,medium,,1.9
HulaHoopBlue,sport,school,blue,,circle,large,,2.4
HulaHoopGreen,sport,school,green,,circle,large,,2.4
HulaHoopOrange,sport,school,orange,,circle,large,,2.4
HulaHoopPink,sport,school,pink,,circle,large,,2.4
HulaHoopPurple,sport,school,purple,,circle,large,,2.4
HulaHoopRed,sport,school,red,,circle,large,,2.4
HulaHoopWhite,sport,school,white,,circle,large,,2.4
HulaHoopYellow,sport,school,yellow,,circle,large,,2.4
PingPongBallOrange,sport,school,orange,,sphere,small,,0.5
PingPongBallWhite,sport,school,white,,sphere,small,,0.5
PingPongBallYellow,sport,school,yellow,,sphere,small,,0.5
PingPongRacket,sport,school,black,red,flat,medium,,2.2
PoolBall1,sport,game,yellow,,sphere,medium,,1
PoolBall2,sport,game,blue,,sphere,medium,,1
PoolBall3,sport,game,red,,sphere,medium,,1
PoolBall4,sport,game,purple,,sphere,medium,,1
PoolBall5,sport,game,orange,,sphere,medium,,1
PoolBall6,sport,game,green,,sphere,medium,,1
PoolBall7,sport,game,red,,sphere,medium,,1
PoolBall8,sport,game,black,,sphere,medium,,1
PoolBall9,sport,game,yellow,,sphere,medium,,1
PoolBall10,sport,game,blue,,sphere,medium,,1
PoolBall11,sport,game,red,,sphere,medium,,1
PoolBall12,sport,game,purple,,sphere,medium,,1
PoolBall13,sport,game,orange,,sphere,medium,,1
PoolBall14,sport,game,green,,sphere,medium,,1
PoolBall15,sport,game,red,,sphere,medium,,1
PoolStickBrown,sport,game,brown,,bar,medium,,5.3
PoolStickGreen,sport,game,green,brown,bar,medium,,5.3
PoolStickOrange,sport,game,orange,brown,bar,medium,,5.3
PoolStickPurple,sport,game,purple,brown,bar,medium,,5.3
PoolStickRed,sport,game,red,brown,bar,medium,,5.3
PoolStickWhite,sport,game,white,brown,bar,medium,,5.3
RollerskateBlue,sport,vehicles,blue,,mix,medium,,2
RollerskateBrown,sport,vehicles,brown,,mix,medium,,2
RollerskateColorful,sport,vehicles,colorful,,mix,medium,,2
RollerskateGreen,sport,vehicles,green,,mix,medium,,2
RollerskatePink,sport,vehicles,pink,,mix,medium,,2
RollerskatePurple,sport,vehicles,purple,,mix,medium,,2
RollerskateRed,sport,vehicles,red,,mix,medium,,2
RollerskateWhite,sport,vehicles,white,,mix,medium,,2
RollerskateYellow,sport,vehicles,yellow,,mix,medium,,2
RugbyBall,sport,school,brown,,curved,medium,,2.1
SurfBlue,sport,game,blue,,flat,large,,3.6
SurfBrown,sport,game,brown,,flat,large,,3.6
SurfGreen,sport,game,green,,flat,large,,3.6
SurfGrey,sport,game,grey,red,flat,large,,3.6
SurfOrange,sport,game,orange,yellow,flat,large,,3.6
SurfPink,sport,game,pink,,flat,large,,3.6
SurfPurple,sport,game,purple,,flat,large,,3.6
TennisBall,sport,school,green,,sphere,small,,0.9
TennisRacketBlue,sport,school,blue,grey,flat,medium,,2.8
TennisRacketGreen,sport,school,green,grey,flat,medium,,2.8
TennisRacketOrange,sport,school,orange,grey,flat,medium,,2.8
TennisRacketPink,sport,school,pink,grey,flat,medium,,2.8
TennisRacketPurple,sport,school,purple,grey,flat,medium,,2.8
TennisRacketRed,sport,school,red,grey,flat,medium,,2.8
TennisRacketYellow,sport,school,yellow,grey,flat,medium,,2.8
VolleyballBlue,sport,school,blue,white,sphere,medium,,1.2
VolleyballGreen,sport,school,green,white,sphere,medium,,1.2
VolleyballOrange,sport,school,orange,white,sphere,medium,,1.2
VolleyballPink,sport,school,pink,,sphere,medium,,1.2
VolleyballWhite,sport,school,white,,sphere,medium,,1.2
VolleyballYellow,sport,school,white,blue,sphere,medium,,1.2
CanBlue,drink,junkfood,blue,,cylinder,small,,1.4
CanGreen,drink,junkfood,green,,cylinder,small,,1.4
CanOrange,drink,junkfood,orange,,cylinder,small,,1.4
CanRed,drink,junkfood,red,,cylinder,small,,1.4
CanYellow,drink,junkfood,yellow,,cylinder,small,,1.4
CupBlue,drink,kitchen,blue,white,circle,medium,,1.8
CupGreen,drink,kitchen,green,white,circle,medium,,1.8
CupOrange,drink,kitchen,orange,white,circle,medium,,1.8
CupPink,drink,kitchen,pink,white,circle,medium,,1.8
CupPurple,drink,kitchen,purple,white,circle,medium,,1.8
CupRed,drink,kitchen,red,white,circle,medium,,1.8
CupWhite,drink,kitchen,white,,circle,medium,,1.8
CupYellow,drink,kitchen,yellow,white,circle,medium,,1.8
JuiceGreen,drink,school,green,,sharp,large,,2.2
JuiceOrange,drink,school,orange,,sharp,large,,2.2
JuicePurple,drink,school,purple,,sharp,large,,2.2
JuiceRed,drink,school,red,,sharp,large,,2.2
JuiceYellow,drink,school,yellow,,sharp,large,,2.2
MilkBlue,drink,school,blue,,sharp,small,,1.8
MilkBrown,drink,school,brown,,sharp,small,,1.8
MilkPink,drink,school,pink,,sharp,small,,1.8
MilkYellow,drink,school,yellow,,sharp,small,,1.8
MilkshakeBrown,drink,bakery,brown,,mix,large,,3
MilkshakePink,drink,bakery,pink,,mix,large,,3
MilkshakeWhite,drink,bakery,white,,mix,large,,3
MilkshakeYellow,drink,bakery,yellow,,mix,large,,3
MugBlue,drink,kitchen,blue,white,cylinder,medium,,2.1
MugGreen,drink,kitchen,green,,cylinder,medium,,2.1
MugOrange,drink,kitchen,orange,brown,cylinder,medium,,2.1
MugPink,drink,kitchen,pink,green,cylinder,medium,,2.1
MugPurple,drink,kitchen,purple,yellow,cylinder,medium,,2.1
MugWhite,drink,kitchen,white,black,cylinder,medium,,2.1
MugYellow,drink,kitchen,yellow,,cylinder,medium,,2.1
PaperCupBlack,drink,bakery,black,brown,cylinder,medium,,2
PaperCupBrown,drink,bakery,brown,black,cylinder,medium,,2
PaperCupWhite,drink,bakery,white,brown,cylinder,medium,,2
SodaBlue,drink,junkfood,blue,,cylinder,medium,,2.2
SodaGreen,drink,junkfood,green,,cylinder,medium,,2.2
SodaPink,drink,junkfood,pink,,cylinder,medium,,2.2
SodaPurple,drink,junkfood,purple,,cylinder,medium,,2.2
SodaRed,drink,junkfood,red,,cylinder,medium,,2.2
SodaYellow,drink,junkfood,yellow,,cylinder,medium,,2.2
WaterBottleBlue,drink,school,blue,,cylinder,large,,2.4
WaterBottleGreen,drink,school,green,,cylinder,large,,2.4
WaterBottleOrange,drink,school,orange,,cylinder,large,,2.4
WaterBottlePink,drink,school,pink,,cylinder,large,,2.4
WaterBottlePurple,drink,school,purple,,cylinder,large,,2.4
WaterBottleRed,drink,school,red,,cylinder,large,,2.4
WaterBottleYellow,drink,school,yellow,,cylinder,large,,2.4
ForkBlue,kitchen,junkfood,blue,grey,flat,small,,1.7
ForkBrown,kitchen,junkfood,brown,grey,flat,small,,1.7
ForkGreen,kitchen,junkfood,green,grey,flat,small,,1.7
ForkOrange,kitchen,junkfood,orange,grey,flat,small,,1.7
ForkPink,kitchen,junkfood,pink,grey,flat,small,,1.7
ForkPurple,kitchen,junkfood,purple,grey,flat,small,,1.7
ForkRed,kitchen,junkfood,red,grey,flat,small,,1.7
ForkWhite,kitchen,junkfood,white,grey,flat,small,,1.7
ForkYellow,kitchen,junkfood,yellow,grey,flat,small,,1.7
FridgeBlue,kitchen,electronic,blue,,sharp,large,,2.7
FridgeGreen,kitchen,electronic,green,,sharp,large,,2.7
FridgeGrey,kitchen,electronic,grey,,sharp,large,,2.7
FridgeOrange,kitchen,electronic,orange,,sharp,large,,2.7
FridgePink,kitchen,electronic,pink,,sharp,large,,2.7
FridgePurple,kitchen,electronic,purple,,sharp,large,,2.7
FridgeRed,kitchen,electronic,red,,sharp,large,,2.7
FridgeWhite,kitchen,electronic,white,,sharp,large,,2.7
FridgeYellow,kitchen,electronic,yellow,,sharp,large,,2.7
KnifeBlue,kitchen,junkfood,blue,grey,flat,small,,1.7
KnifeBrown,kitchen,junkfood,brown,grey,flat,small,,1.7
KnifeGreen,kitchen,junkfood,green,grey,flat,small,,1.7
KnifeOrange,kitchen,junkfood,orange,grey,flat,small,,1.7
KnifePink,kitchen,junkfood,pink,grey,flat,small,,1.7
KnifePurple,kitchen,junkfood,purple,grey,flat,small,,1.7
KnifeRed,kitchen,junkfood,red,grey,flat,small,,1.7
KnifeWhite,kitchen,junkfood,white,grey,flat,small,,1.7
KnifeYellow,kitchen,junkfood,yellow,grey,flat,small,,1.7
OvenBlue,kitchen,electronic,blue,,sharp,large,,2.1
OvenGreen,kitchen,electronic,green,,sharp,large,,2.1
OvenOrange,kitchen,electronic,orange,,sharp,large,,2.1
OvenPink,kitchen,electronic,pink,,sharp,large,,2.1
OvenPurple,kitchen,electronic,purple,,sharp,large,,2.1
OvenRed,kitchen,electronic,red,,sharp,large,,2.1
OvenWhite,kitchen,electronic,white,,sharp,large,,2.1
OvenYellow,kitchen,electronic,yellow,,sharp,large,,2.1
PanBlue,kitchen,junkfood,blue,black,circle,medium,,2.7
PanGreen,kitchen,junkfood,green,black,circle,medium,,2.7
PanOrange,kitchen,junkfood,orange,black,circle,medium,,2.7
PanPink,kitchen,junkfood,pink,black,circle,medium,,2.7
PanPurple,kitchen,junkfood,purple,black,circle,medium,,2.7
PanRed,kitchen,junkfood,red,black,circle,medium,,2.7
PanWhite,kitchen,junkfood,white,black,circle,medium,,2.7
PanYellow,kitchen,junkfood,yellow,black,circle,medium,,2.7
PotBlue,kitchen,junkfood,blue,black,circle,medium,,2.5
PotGreen,kitchen,junkfood,green,black,circle,medium,,2.5
PotOrange,kitchen,junkfood,orange,black,circle,medium,,2.5
PotPink,kitchen,junkfood,pink,black,circle,medium,,2.5
PotPurple,kitchen,junkfood,purple,black,circle,medium,,2.5
PotRed,kitchen,junkfood,red,black,circle,medium,,2.5
PotWhite,kitchen,junkfood,white,black,circle,medium,,2.5
PotYellow,kitchen,junkfood,yellow,black,circle,medium,,2.5
SpatulaBlue,kitchen,junkfood,blue,grey,flat,medium,,2.3
SpatulaBrown,kitchen,junkfood,brown,grey,flat,medium,,2.3
SpatulaGreen,kitchen,junkfood,green,grey,flat,medium,,2.3
SpatulaOrange,kitchen,junkfood,orange,grey,flat,medium,,2.3
SpatulaPink,kitchen,junkfood,pink,grey,flat,medium,,2.3
SpatulaPurple,kitchen,junkfood,purple,grey,flat,medium,,2.3
SpatulaRed,kitchen,junkfood,red,grey,flat,medium,,2.3
SpatulaWhite,kitchen,junkfood,white,grey,flat,medium,,2.3
SpatulaYellow,kitchen,junkfood,yellow,grey,flat,medium,,2.3
SpoonBlue,kitchen,junkfood,blue,grey,flat,small,,1.7
SpoonBrown,kitchen,junkfood,brown,grey,flat,small,,1.7
SpoonGreen,kitchen,junkfood,green,grey,flat,small,,1.7
SpoonOrange,kitchen,junkfood,orange,grey,flat,small,,1.7
SpoonPink,kitchen,junkfood,pink,grey,flat,small,,1.7
SpoonPurple,kitchen,junkfood,purple,grey,flat,small,,1.7
SpoonRed,kitchen,junkfood,red,grey,flat,small,,1.7
SpoonWhite,kitchen,junkfood,white,grey,flat,small,,1.7
SpoonYellow,kitchen,junkfood,yellow,grey,flat,small,,1.7
TeaPotBlue,kitchen,drink,blue,,curved,medium,,2.5
TeaPotGreen,kitchen,drink,green,,curved,medium,,2.5
TeaPotGrey,kitchen,drink,green,,curved,medium,,2.5
TeaPotOrange,kitchen,drink,orange,,curved,medium,,2.5
TeaPotPink,kitchen,drink,pink,,curved,medium,,2.5
TeaPotPurple,kitchen,drink,purple,,curved,medium,,2.5
TeaPotRed,kitchen,drink,red,,curved,medium,,2.5
TeaPotWhite,kitchen,drink,white,,curved,medium,,2.5
TeaPotYellow,kitchen,drink,yellow,,curved,medium,,2.5
ToasterBlue,kitchen,electronic,blue,,sharp,medium,,2
ToasterBrown,kitchen,electronic,brown,,sharp,medium,,2
ToasterGreen,kitchen,electronic,green,,sharp,medium,,2
ToasterOrange,kitchen,electronic,orange,,sharp,medium,,2
ToasterPink,kitchen,electronic,pink,,sharp,medium,,2
ToasterPurple,kitchen,electronic,purple,,sharp,medium,,2
ToasterRed,kitchen,electronic,red,,sharp,medium,,2
ToasterWhite,kitchen,electronic,white,,sharp,medium,,2
ToasterYellow,kitchen,electronic,yellow,,sharp,medium,,2
CrateBlue,cubic,toy,blue,,sharp,medium,,1.4
CrateBrown,cubic,toy,brown,,sharp,medium,,1.4
CrateGreen,cubic,toy,green,,sharp,medium,,1.4
CrateGrey,cubic,toy,grey,,sharp,medium,,1.4
CratePink,cubic,toy,pink,,sharp,medium,,1.4
CratePurple,cubic,toy,purple,,sharp,medium,,1.4
CrateRed,cubic,toy,red,,sharp,medium,,1.4
DiceBlue,cubic,game,blue,black,sharp,small,,0.9
DiceGreen,cubic,game,green,black,sharp,medium,,0.9
DiceOrange,cubic,game,orange,black,sharp,medium,,0.9
DicePink,cubic,game,pink,black,sharp,medium,,0.9
DicePurple,cubic,game,purple,black,sharp,medium,,0.9
DiceRed,cubic,game,red,black,sharp,medium,,0.9
DiceWhite,cubic,game,white,black,sharp,medium,,0.9
DiceYellow,cubic,game,yellow,black,sharp,medium,,0.9
Domino00,cubic,game,white,black,sharp,small,,1.4
Domino11,cubic,game,white,black,sharp,small,,1.4
Domino22,cubic,game,white,black,sharp,small,,1.4
Domino33,cubic,game,white,black,sharp,small,,1.4
Domino44,cubic,game,white,black,sharp,small,,1.4
Domino55,cubic,game,white,black,sharp,small,,1.4
Domino66,cubic,game,white,black,sharp,small,,1.4
GiftboxBlue,cubic,toy,blue,,sharp,large,,1.3
GiftboxGreen,cubic,toy,green,red,sharp,large,,1.3
GiftboxPink,cubic,toy,pink,,sharp,large,,1.3
GiftboxPurple,cubic,toy,purple,orange,sharp,large,,1.3
GiftboxRed,cubic,toy,red,yellow,sharp,large,,1.3
GiftboxYellow,cubic,toy,yellow,red,sharp,large,,1.3
Ice,cubic,drink,blue,,sharp,medium,,1
LegoBlue,cubic,toy,blue,,sharp,small,,0.7
LegoGreen,cubic,toy,green,,sharp,small,,0.7
LegoOrange,cubic,toy,orange,,sharp,small,,0.7
LegoPink,cubic,toy,pink,,sharp,small,,0.7
LegoPurple,cubic,toy,purple,,sharp,small,,0.7
LegoRed,cubic,toy,red,,sharp,small,,0.7
LegoYellow,cubic,toy,yellow,,sharp,small,,0.7
RubicCube,cubic,school,colorful,black,sharp,medium,,0.9
ToonCubeBlue,cubic,game,blue,,sharp,medium,,1.1
ToonCubeGreen,cubic,game,green,,sharp,medium,,1.1
ToonCubeOrange,cubic,game,orange,,sharp,medium,,1.1
ToonCubePurple,cubic,game,purple,,sharp,medium,,1.1
ToonCubeRed,cubic,game,red,,sharp,medium,,1.1
ToonCubeYellow,cubic,game,yellow,,sharp,medium,,1.1
CameraBlue,cubic,electronic,blue,black,sharp,medium,,1.7
CameraGreen,cubic,electronic,green,black,sharp,medium,,1.7
CameraOrange,cubic,electronic,orange,black,sharp,medium,,1.7
CameraPink,cubic,electronic,pink,black,sharp,medium,,1.7
CameraPurple,cubic,electronic,purple,black,sharp,medium,,1.7
CameraRainbow,cubic,electronic,colorful,black,sharp,medium,,1.7
CameraRed,cubic,electronic,red,black,sharp,medium,,1.7
CameraWhite,cubic,electronic,white,black,sharp,medium,,1.7
Cannon,toy,electronic,red,blue,mix,large,,2
ConsoleBlue,game,electronic,blue,,sharp,medium,,1.8
ConsoleGreen,game,electronic,green,,sharp,medium,,1.8
ConsolePink,game,electronic,pink,,sharp,medium,,1.8
ConsolePurple,game,electronic,purple,,sharp,medium,,1.8
ConsoleRed,game,electronic,red,,sharp,medium,,1.8
ConsoleWhite,game,electronic,white,,sharp,medium,,1.8
ConsoleYellow,game,electronic,yellow,,sharp,medium,,1.8
ControllerBlack,game,electronic,black,,curved,medium,,2.1
ControllerBlue,game,electronic,blue,,curved,medium,,2.1
ControllerGreen,game,electronic,green,,curved,medium,,2.1
ControllerGrey,game,electronic,grey,,curved,medium,,2.1
ControllerPink,game,electronic,pink,,curved,medium,,2.1
ControllerPurple,game,electronic,purple,,curved,medium,,2.1
ControllerRed,game,electronic,red,,curved,medium,,2.1
ControllerWhite,game,electronic,white,,curved,medium,,2.1
ControllerYellow,game,electronic,yellow,,curved,medium,,2.1
DollBlue1,toy,school,blue,yellow,bar,medium,,3.6
DollBlue2,toy,school,blue,brown,bar,medium,,3.6
DollPink1,toy,school,pink,yellow,bar,medium,,3.6
DollPink2,toy,school,pink,brown,bar,medium,,3.6
DollRed1,toy,school,red,yellow,bar,medium,,3.6
DollRed2,toy,school,red,brown,bar,medium,,3.6
DollWhite1,toy,school,white,yellow,bar,medium,,3.6
DollWhite2,toy,school,white,brown,bar,medium,,3.6
Duck,toy,game,yellow,orange,curved,medium,,1.6
Hammer,toy,music,blue,red,curved,medium,,1.9
Hanoi,toy,school,colorful,brown,circle,medium,,1.4
JigsawBlue,toy,school,blue,grey,flat,small,,1.3
JigsawBrown,toy,school,brown,grey,flat,small,,1.3
JigsawGreen,toy,school,green,grey,flat,small,,1.3
JigsawOrange,toy,school,orange,grey,flat,small,,1.3
JigsawPink,toy,school,pink,grey,flat,small,,1.3
JigsawPurple,toy,school,purple,grey,flat,small,,1.3
JigsawRed,toy,school,red,grey,flat,small,,1.3
JigsawWhite,toy,school,white,grey,flat,small,,1.3
JigsawYellow,toy,school,yellow,grey,flat,small,,1.3
MobileBlue,toy,electronic,blue,colorful,curved,medium,,2.4
MobileGreen,toy,electronic,green,colorful,curved,medium,,2.4
MobilePink,toy,electronic,pink,colorful,curved,medium,,2.4
MobileRed,toy,electronic,red,colorful,curved,medium,,2.4
MobileWhite,toy,electronic,white,colorful,curved,medium,,2.4
PlaydoughBlue,game,school,blue,yellow,cylinder,medium,,1.4
PlaydoughGreen,game,school,green,yellow,cylinder,medium,,1.4
PlaydoughOrange,game,school,orange,yellow,cylinder,medium,,1.4
PlaydoughPink,game,school,pink,yellow,cylinder,medium,,1.4
PlaydoughPurple,game,school,purple,yellow,cylinder,medium,,1.4
PlaydoughRed,game,school,red,yellow,cylinder,medium,,1.4
PlaydoughWhite,game,school,white,yellow,cylinder,medium,,1.4
RobotBlue,toy,electronic,blue,,curved,large,,2.4
RobotGreen,toy,electronic,green,,curved,large,,2.4
RobotOrange,toy,electronic,orange,,curved,large,,2.4
RobotPink,toy,electronic,pink,,curved,large,,2.4
RobotPurple,toy,electronic,purple,,curved,large,,2.4
RobotRed,toy,electronic,red,,curved,large,,2.4
RobotWhite,toy,electronic,white,,curved,large,,2.4
RobotYellow,toy,electronic,yellow,,curved,large,,2.4
SoldierBlue,toy,game,blue,,mix,medium,,1.7
SoldierGreen,toy,game,green,,mix,medium,,1.7
SoldierGrey,toy,game,grey,black,mix,medium,,1.7
SoldierPink,toy,game,pink,,mix,medium,,1.7
SoldierRed,toy,game,red,,mix,medium,,1.7
SoldierWhite,toy,game,white,,mix,medium,,1.7
SoldierYellow,toy,game,yellow,,mix,medium,,1.7
TelephoneBlue,toy,electronic,blue,,curved,medium,,1.9
TelephoneGreen,toy,electronic,green,,curved,medium,,1.9
TelephoneOrange,toy,electronic,orange,,curved,medium,,1.9
TelephonePink,toy,electronic,pink,,curved,medium,,1.9
TelephonePurple,toy,electronic,purple,,curved,medium,,1.9
TelephoneRed,toy,electronic,red,,curved,medium,,1.9
TelephoneWhite,toy,electronic,white,,curved,medium,,1.9
TelephoneYellow,toy,electronic,yellow,,curved,medium,,1.9
TelevisionBlue,cubic,electronic,blue,,curved,large,,2.6
TelevisionGreen,cubic,electronic,green,,curved,large,,2.6
TelevisionOrange,cubic,electronic,orange,,curved,large,,2.6
TelevisionPink,cubic,electronic,pink,,curved,large,,2.6
TelevisionPurple,cubic,electronic,purple,,curved,large,,2.6
TelevisionRed,cubic,electronic,red,,curved,large,,2.6
TelevisionWhite,cubic,electronic,white,,curved,large,,2.6
TelevisionYellow,cubic,electronic,yellow,,curved,large,,2.6
WatergunBlue,toy,game,blue,colorful,cylinder,large,,2.3
WatergunPink,toy,game,pink,colorful,cylinder,large,,2.3
WatergunPurple,toy,game,purple,colorful,cylinder,large,,2.3
WatergunRed,toy,game,red,colorful,cylinder,large,,2.3
WatergunWhite,toy,game,white,colorful,cylinder,large,,2.3
WatergunYellow,toy,game,yellow,colorful,cylinder,large,,2.3
